Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2018,4,16,1,264,1497,916,366,F9,5904,TN123,467,389,431,20,11,ORD,JFK,2712,5,38,0,None,0,1,2,20,6,0
2020,4,7,7,391,1280,2235,2153,DL,5336,TN789,442,185,55,0,11,ORD,ATL,1404,9,37,0,None,0,0,0,0,0,0
2022,4,4,6,2279,1978,1499,793,AA,2990,TN123,169,109,441,9,0,SFO,DFW,1661,2,3,0,None,0,10,0,22,0,0
2020,9,27,7,900,1529,2209,635,DL,7576,TN789,469,74,357,23,11,LAX,ATL,296,13,34,0,None,0,11,1,19,7,12
2022,7,20,4,587,387,128,1705,F9,5722,TN123,197,386,89,11,5,JFK,ATL,2086,23,59,0,None,0,1,11,23,0,0
2018,3,23,3,1152,2337,303,986,DL,7079,TN456,113,224,135,0,10,SFO,DEN,1839,1,27,0,None,0,0,0,0,0,0
2019,3,25,3,1294,188,916,957,NK,340,TN123,450,266,429,11,3,LAX,LAX,1610,18,42,0,None,0,4,10,21,0,0
2021,6,11,7,465,917,1185,854,WN,2729,TN123,223,240,20,18,9,LAX,DEN,1370,8,41,0,None,0,5,4,11,5,0
2018,6,16,4,1193,1201,921,2125,DL,1592,TN456,305,297,100,6,8,JFK,ATL,875,26,13,0,None,1,1,0,5,0,0
2021,4,20,7,2175,923,1059,1569,UA,7844,TN789,297,112,405,15,0,ORD,DEN,232,1,4,0,None,0,13,18,20,0,0
2019,9,4,1,1972,1621,1250,2256,F9,5784,TN321,67,142,439,24,0,LAX,SFO,944,14,1,0,None,0,14,24,17,5,30
2019,4,22,1,1049,759,2198,1434,F9,3162,TN456,443,296,54,13,0,LAX,JFK,2306,26,44,0,None,0,8,4,5,0,0
2018,9,22,5,487,1477,592,7,WN,9501,TN123,332,160,402,22,24,ORD,SFO,484,26,49,0,None,0,17,9,7,8,34
2019,4,23,2,949,2264,2094,736,UA,8176,TN456,367,346,302,1,2,SFO,ATL,473,12,23,0,None,0,16,0,0,0,0
2022,2,17,5,405,1065,939,2274,UA,4630,TN456,271,479,214,0,8,JFK,SFO,2551,26,2,0,None,0,0,0,0,0,0
2019,2,13,1,1049,193,2278,2222,F9,6902,TN123,359,85,203,33,2,DFW,DFW,1472,25,22,0,None,0,1,14,1,0,27
2021,5,11,4,1106,1350,1562,80,AA,2298,TN123,228,407,65,0,0,LAX,DEN,1155,11,10,0,None,0,0,0,0,0,0
2021,4,3,2,363,1396,1001,1158,DL,5451,TN321,327,267,167,13,0,ATL,SFO,2244,16,37,0,None,0,15,17,13,0,0
2021,7,9,4,1390,1488,2212,237,UA,7291,TN456,34,55,283,0,3,ORD,DEN,1713,15,55,0,None,0,0,0,0,0,0
2021,11,6,5,1083,162,1610,1495,DL,4945,TN123,461,371,112,18,0,DFW,DFW,982,2,34,0,None,0,12,24,9,0,0
2022,5,22,3,550,275,1627,1049,DL,9702,TN789,400,274,347,0,10,ATL,DEN,2534,25,0,0,None,0,0,0,0,0,0
2020,6,21,4,1658,363,1597,186,NK,5319,TN789,412,238,133,12,8,ATL,ATL,919,5,5,0,None,0,19,28,12,0,0
2018,10,11,5,291,1665,1103,1905,AA,3808,TN789,384,319,366,16,0,DEN,ORD,2924,23,5,0,None,0,0,25,5,5,0
2021,4,16,5,1960,2002,2187,629,AA,13,TN789,132,212,301,13,24,DFW,DEN,2332,29,39,0,None,0,13,12,7,0,0
2019,12,19,5,1817,459,1955,1732,UA,4035,TN456,464,236,122,0,8,DEN,DFW,1307,9,25,0,None,0,0,0,0,0,0
2021,2,27,3,190,2132,129,814,UA,5531,TN456,425,233,221,0,16,SFO,DFW,2017,4,34,0,None,0,0,0,0,0,0
2019,10,5,3,460,1731,28,613,F9,9773,TN321,167,429,81,19,8,ORD,ORD,2198,13,12,0,None,0,7,0,6,8,0
2019,9,14,7,1919,1339,1225,1186,NK,3434,TN456,322,237,113,2,9,SFO,ATL,2879,17,24,0,None,0,0,0,0,0,0
2021,10,17,3,2280,2290,1260,2225,NK,4634,TN123,410,452,436,0,0,DFW,LAX,2149,27,21,0,None,0,0,0,0,0,0
2022,7,3,2,270,1365,1631,984,WN,2052,TN321,95,419,336,0,0,DEN,ATL,1200,7,16,0,None,0,0,0,0,0,0
2019,4,4,3,1157,656,798,2327,DL,3877,TN456,96,395,247,28,1,SFO,JFK,1585,15,13,0,None,0,19,15,16,7,28
2019,3,16,3,170,1106,1362,797,F9,5909,TN456,299,101,423,2,0,SFO,DEN,498,1,2,0,None,0,2,0,0,0,0
2021,10,16,3,1438,1383,1422,1077,DL,6131,TN123,76,465,87,0,0,ORD,DFW,1162,19,3,0,None,0,0,0,0,0,0
2019,3,21,4,27,2135,2336,66,AA,6428,TN123,433,438,304,0,16,LAX,DFW,645,29,34,0,None,0,0,0,0,0,0
2019,9,26,3,135,741,99,543,AA,1824,TN123,394,341,321,4,3,ATL,ATL,841,8,53,0,None,0,8,0,0,0,0
2021,5,25,2,887,1995,1939,1786,NK,3431,TN789,398,368,184,0,0,ORD,ATL,2398,22,46,0,None,0,0,0,0,0,0
2021,3,4,5,1528,1521,421,519,F9,2741,TN456,209,176,120,31,10,SFO,DEN,2213,18,54,0,None,0,10,2,15,7,11
2018,5,19,4,1264,1623,693,945,UA,1789,TN456,97,233,262,0,0,DFW,ATL,1552,0,27,1,C,0,0,0,0,0,0
2022,2,26,1,855,681,705,1454,WN,1953,TN456,144,486,109,0,11,ATL,SFO,1476,26,42,1,C,0,0,0,0,0,0
2022,11,17,3,1251,1112,17,1058,NK,9144,TN321,55,378,408,1,0,ATL,ORD,482,21,1,0,None,0,13,0,0,0,0
2019,4,13,7,508,1724,1030,2236,WN,3421,TN321,76,440,107,0,31,ORD,ORD,1150,8,44,0,None,0,0,0,0,0,0
2022,10,26,7,1326,898,379,1112,AA,3028,TN321,236,162,146,12,0,LAX,LAX,166,19,47,0,None,0,3,4,14,0,0
2019,2,22,5,2081,600,113,946,AA,3102,TN321,102,311,126,0,2,ORD,DFW,2849,26,37,0,None,0,0,0,0,0,0
2018,2,23,5,1025,1867,1619,135,WN,5874,TN321,288,443,341,0,0,JFK,DEN,599,6,46,0,None,0,0,0,0,0,0
2021,12,26,4,361,1199,850,792,WN,3589,TN123,415,107,418,0,0,DEN,DEN,2021,2,3,0,None,0,0,0,0,0,0
2021,8,24,7,1218,482,1896,1136,UA,3846,TN321,454,126,321,3,35,DEN,ATL,854,0,59,0,None,0,15,0,0,0,0
2021,1,28,1,605,2010,975,1362,WN,5738,TN456,59,192,263,29,0,JFK,DFW,1535,12,46,0,None,0,7,23,1,4,24
2022,7,1,6,1863,1142,92,554,DL,9340,TN789,450,360,204,19,0,DEN,LAX,1753,13,48,0,None,0,13,2,13,7,0
2018,5,12,7,1331,168,1515,945,WN,1418,TN456,494,466,283,16,12,JFK,LAX,2113,20,11,0,None,0,13,13,13,7,0
2022,11,4,7,1670,2021,1125,2221,B6,3910,TN456,32,225,440,7,0,DFW,LAX,2828,0,33,0,None,0,12,0,13,0,0
2022,8,11,2,715,2194,492,2254,WN,4746,TN123,38,145,120,12,0,SFO,JFK,1493,17,36,0,None,0,1,17,22,0,0
2018,1,5,6,2297,438,1508,1366,AA,2773,TN789,37,190,272,6,0,ORD,SFO,698,6,43,0,None,0,3,0,8,0,0
2018,11,2,5,2194,159,2035,948,AA,5176,TN456,38,284,161,0,0,ATL,DFW,1732,14,40,0,None,0,0,0,0,0,0
2018,7,17,6,347,813,166,103,NK,6276,TN123,405,99,408,0,20,DFW,JFK,1559,0,29,0,None,1,0,0,0,0,0
2018,5,8,7,1277,585,139,1046,B6,2250,TN789,430,441,272,5,0,DEN,LAX,1905,21,20,0,None,0,3,0,0,0,0
2021,4,6,5,398,863,93,1860,DL,3859,TN789,181,231,92,0,3,DFW,JFK,160,6,55,1,B,0,0,0,0,0,0
2020,7,21,6,1357,1041,575,2337,WN,1626,TN123,485,65,233,0,6,ATL,JFK,2197,19,27,0,None,0,0,0,0,0,0
2020,10,9,5,1199,139,605,963,WN,2750,TN321,171,334,398,16,5,DFW,ORD,1319,19,41,0,None,0,10,5,12,1,0
2018,2,13,5,2172,1138,1818,837,B6,2606,TN123,467,247,318,13,0,LAX,ATL,1398,1,49,0,None,0,2,7,15,0,0
2020,12,11,4,2178,327,1155,1582,NK,1848,TN123,365,499,398,0,0,DEN,LAX,2363,13,4,0,None,0,0,0,0,0,0
2020,1,16,1,1585,224,583,881,UA,7208,TN321,303,338,191,0,0,SFO,ORD,1415,20,32,0,None,0,0,0,0,0,0
2018,1,16,5,821,557,815,423,UA,8771,TN123,452,226,323,11,0,SFO,SFO,2672,27,33,0,None,0,6,5,22,0,0
2020,11,27,2,901,1573,1927,2202,NK,1137,TN123,401,415,433,0,7,ORD,ORD,2683,6,31,0,None,0,0,0,0,0,0
2022,12,2,7,944,1741,1535,2198,DL,3134,TN123,460,365,436,5,20,JFK,DEN,273,13,26,0,None,0,0,0,0,0,0
2019,1,10,7,1869,385,962,211,WN,1158,TN456,56,356,249,21,3,SFO,JFK,1553,19,2,0,None,0,17,7,21,0,17
2019,12,12,2,333,520,1075,1215,WN,7453,TN123,377,221,440,0,0,SFO,ATL,2753,23,39,0,None,0,0,0,0,0,0
2018,5,8,3,1043,1276,2047,880,WN,9842,TN123,100,306,256,18,0,DEN,SFO,707,14,43,0,None,0,11,3,22,4,0
2021,10,11,5,2252,1121,1313,754,NK,7276,TN789,248,320,249,0,7,SFO,DEN,2115,23,41,0,None,0,0,0,0,0,0
2018,7,10,5,354,1833,445,1121,AA,5414,TN789,319,459,26,0,0,DEN,SFO,134,26,50,0,None,0,0,0,0,0,0
2021,2,13,5,1196,446,2284,700,F9,4373,TN789,285,115,214,13,0,ORD,DFW,1877,6,43,0,None,1,18,18,20,0,0
2019,10,25,6,1212,1242,1514,2219,UA,5612,TN123,132,400,275,18,0,ORD,ORD,1785,29,3,0,None,0,9,9,14,1,0
2018,8,17,5,823,106,1067,370,NK,1587,TN321,176,461,190,0,0,ATL,JFK,2940,2,35,0,None,0,0,0,0,0,0
2022,4,7,5,1025,1499,881,1732,F9,2324,TN123,419,51,59,0,6,ATL,SFO,2939,9,56,0,None,0,0,0,0,0,0
2020,12,24,2,1896,1477,936,1163,B6,234,TN456,187,163,307,0,9,SFO,DEN,1517,11,35,0,None,0,0,0,0,0,0
2021,3,3,1,167,903,1948,912,F9,9458,TN456,377,405,247,38,18,LAX,ATL,503,8,40,0,None,0,3,17,2,3,13
2020,10,20,1,535,1631,1549,1828,AA,7917,TN456,169,190,253,0,0,DFW,ORD,1619,28,58,0,None,0,0,0,0,0,0
2020,11,13,3,1948,1149,461,801,AA,32,TN456,172,324,380,0,0,DFW,LAX,629,7,55,0,None,0,0,0,0,0,0
2018,8,19,2,1619,1170,100,2303,UA,9564,TN123,138,72,202,10,21,DFW,ATL,587,9,51,0,None,0,12,0,3,0,0
2020,2,7,5,949,2327,2315,989,WN,8952,TN789,452,438,230,0,16,JFK,LAX,2372,16,2,0,None,0,0,0,0,0,0
2022,11,9,1,206,23,407,675,DL,3204,TN123,388,431,369,0,22,DEN,DFW,1420,8,49,0,None,0,0,0,0,0,0
2020,11,19,4,543,951,1739,415,F9,5895,TN123,349,70,386,5,17,DEN,LAX,428,22,55,0,None,0,19,0,0,0,0
2018,3,13,4,128,1744,258,1162,NK,1795,TN123,93,413,248,0,39,ORD,LAX,196,9,55,0,None,0,0,0,0,0,0
2022,12,22,4,1470,2039,508,961,NK,762,TN123,300,403,364,0,14,JFK,DFW,1281,25,0,0,None,0,0,0,0,0,0
2019,3,8,5,2082,119,1690,1620,B6,4081,TN321,215,320,274,0,0,LAX,DFW,1617,14,38,0,None,0,0,0,0,0,0
2020,10,22,5,2246,1675,308,1535,UA,282,TN789,385,309,96,0,14,SFO,LAX,1140,3,39,0,None,1,0,0,0,0,0
2018,11,18,3,1836,1320,624,248,DL,4072,TN789,352,212,284,0,8,LAX,SFO,1670,20,38,0,None,0,0,0,0,0,0
2019,1,23,7,76,854,2157,1886,UA,4626,TN456,30,281,251,0,0,DFW,ORD,2483,6,26,0,None,0,0,0,0,0,0
2019,6,2,3,368,1015,678,2355,UA,5979,TN123,36,389,156,0,0,ORD,ORD,523,15,43,0,None,0,0,0,0,0,0
2021,2,18,3,525,447,1283,572,UA,9008,TN456,422,69,83,30,0,DFW,JFK,2550,7,2,0,None,0,18,26,16,8,6
2022,1,18,6,348,1935,1680,1808,UA,4560,TN789,30,116,264,0,0,SFO,DEN,1951,13,35,0,None,0,0,0,0,0,0
2020,2,11,4,505,1743,741,797,WN,1471,TN789,290,254,448,0,0,DEN,DEN,530,19,36,0,None,0,0,0,0,0,0
2018,12,1,5,642,995,906,1000,NK,3288,TN456,76,314,110,1,4,ORD,DFW,2017,6,29,0,None,0,16,0,0,0,0
2021,6,14,4,237,1942,267,760,AA,4260,TN789,385,167,252,0,0,JFK,SFO,997,13,0,0,None,0,0,0,0,0,0
2022,4,16,3,1303,1446,2030,292,NK,5707,TN789,295,364,370,1,0,DFW,ATL,2857,5,9,0,None,0,4,0,0,0,0
2021,6,11,5,1600,1084,939,197,NK,511,TN321,31,167,368,0,0,LAX,SFO,2776,8,2,0,None,0,0,0,0,0,0
2022,12,1,2,1455,1724,810,79,F9,7962,TN123,52,93,113,0,0,SFO,LAX,1567,13,37,0,None,0,0,0,0,0,0
2022,9,7,1,2185,2131,1200,1408,UA,8747,TN123,388,146,441,26,14,ATL,DFW,1874,15,2,0,None,0,13,11,3,9,36
2020,10,16,1,1673,2272,2151,136,DL,6785,TN789,469,442,222,0,0,JFK,DFW,110,3,36,0,None,0,0,0,0,0,0
2022,12,14,3,1846,185,1259,212,F9,9499,TN789,432,127,193,0,3,DEN,DFW,940,19,51,0,None,0,0,0,0,0,0
2021,10,15,7,1854,71,1116,1862,DL,5494,TN321,451,175,143,23,17,DFW,ORD,638,28,33,0,None,0,2,23,1,0,13
2022,8,14,4,354,73,2248,618,DL,259,TN456,332,415,89,0,0,ORD,ATL,1734,2,51,0,None,0,0,0,0,0,0
2020,1,28,2,558,1920,1834,959,AA,6589,TN321,113,438,122,0,16,ORD,ORD,225,12,19,0,None,0,0,0,0,0,0
2020,8,21,5,1917,1364,898,2213,AA,9417,TN321,233,114,252,0,8,DFW,SFO,1054,23,10,0,None,0,0,0,0,0,0
2021,9,11,7,1254,2200,924,2168,DL,1666,TN456,488,80,83,25,16,JFK,DEN,2269,23,18,0,None,0,4,13,17,7,18
2019,6,16,4,1681,2143,1790,1722,WN,9596,TN789,256,124,114,22,17,LAX,SFO,451,15,26,0,None,0,9,9,22,6,26
2019,10,19,3,1169,1481,1058,1161,AA,1866,TN123,465,307,182,0,10,DFW,DFW,467,3,23,0,None,0,0,0,0,0,0
2022,5,17,4,1175,764,687,1889,AA,766,TN321,281,38,287,33,1,DEN,ORD,491,2,5,0,None,0,6,24,8,5,12
2018,6,27,3,1814,1096,1481,2040,WN,8257,TN321,334,376,323,0,10,ORD,DFW,549,21,0,0,None,0,0,0,0,0,0
2022,6,26,6,2187,211,1494,1553,UA,3450,TN123,484,118,338,0,0,DEN,ATL,1281,24,56,0,None,0,0,0,0,0,0
2021,9,6,1,662,723,1958,1099,AA,2706,TN321,180,118,192,0,8,JFK,SFO,335,23,18,0,None,0,0,0,0,0,0
2021,4,11,7,20,1765,787,1688,F9,5766,TN456,276,248,25,0,14,JFK,LAX,2350,6,51,0,None,0,0,0,0,0,0
2021,2,17,1,2111,750,398,36,DL,4975,TN123,335,359,320,0,0,ATL,ORD,2867,22,57,0,None,0,0,0,0,0,0
2021,11,9,4,1241,1517,2164,844,DL,196,TN123,46,379,365,0,22,SFO,ATL,461,20,9,0,None,0,0,0,0,0,0
2021,11,18,2,161,1468,361,1681,WN,1384,TN456,333,408,120,0,2,LAX,LAX,892,14,43,0,None,0,0,0,0,0,0
2020,9,17,5,129,393,203,1643,DL,2436,TN456,406,417,435,14,8,DFW,DFW,2478,1,31,0,None,0,19,15,22,0,0
2019,2,12,3,1950,511,726,2333,NK,1451,TN123,31,434,379,0,0,SFO,JFK,2721,8,54,0,None,0,0,0,0,0,0
2021,10,23,5,224,685,2038,1263,B6,8415,TN456,226,409,150,19,0,DFW,ATL,2468,2,47,0,None,0,1,9,13,5,0
2018,9,22,1,1781,1738,1640,2267,DL,7925,TN321,475,315,402,22,21,LAX,DEN,1860,24,36,0,None,0,17,5,13,2,16
2018,2,22,2,579,1720,1604,2043,WN,7059,TN789,370,190,405,6,0,ORD,SFO,356,9,35,0,None,0,10,0,20,0,0
2018,12,5,2,1477,1826,766,215,WN,7317,TN321,298,72,39,17,17,DFW,JFK,2523,17,1,0,None,0,0,22,21,8,0
2018,8,11,5,106,1282,1254,680,WN,5629,TN456,90,275,230,0,0,LAX,LAX,2775,14,36,0,None,0,0,0,0,0,0
2020,9,4,1,839,1857,1226,2340,NK,442,TN321,296,287,314,0,0,DFW,LAX,1298,28,13,0,None,0,0,0,0,0,0
2018,12,27,5,1164,2261,394,1812,F9,9630,TN789,126,372,415,0,28,ORD,DFW,2476,29,45,0,None,0,0,0,0,0,0
2021,10,4,4,1157,1312,247,1507,B6,2368,TN789,312,188,311,0,1,SFO,DEN,1406,15,12,0,None,0,0,0,0,0,0
2022,9,3,2,2246,1864,913,2090,NK,4866,TN789,276,161,367,18,4,LAX,ORD,2441,12,55,0,None,0,10,2,10,0,0
2018,10,26,2,666,2305,1419,1116,AA,9075,TN456,64,76,284,6,0,SFO,ATL,2550,11,49,0,None,0,13,0,13,0,0
2020,9,24,4,2126,1411,1818,1292,UA,7160,TN456,303,369,272,0,0,ORD,JFK,2955,11,16,0,None,1,0,0,0,0,0
2020,2,23,1,1971,1807,355,1644,DL,451,TN456,498,118,63,16,11,DFW,SFO,820,0,26,0,None,0,8,20,4,0,0
2018,4,25,2,511,1568,240,1238,F9,7040,TN789,97,74,94,4,9,LAX,SFO,677,14,53,0,None,0,8,0,0,0,0
2022,7,17,7,249,1063,1910,958,AA,5199,TN456,218,350,72,0,16,ATL,DFW,1323,25,28,0,None,0,0,0,0,0,0
2018,12,7,6,888,997,2276,2161,WN,8935,TN123,70,223,305,0,0,DFW,DEN,1631,22,12,0,None,0,0,0,0,0,0
2020,2,26,6,1023,2257,620,1148,AA,7287,TN321,125,35,390,0,0,LAX,LAX,142,0,48,0,None,0,0,0,0,0,0
2019,1,4,6,598,2319,1562,2284,NK,9737,TN321,200,292,85,27,11,ATL,LAX,2870,7,24,0,None,0,9,28,16,7,35
2021,3,23,3,752,598,854,1828,AA,3351,TN123,462,464,57,4,22,LAX,JFK,2565,15,23,0,None,0,4,0,0,0,0
2020,12,13,7,599,1083,2314,157,B6,2830,TN456,424,225,273,0,0,DEN,SFO,897,15,47,0,None,0,0,0,0,0,0
2018,4,12,3,2219,2302,2267,907,WN,2614,TN321,96,47,313,47,0,DEN,LAX,1399,2,35,0,None,0,7,26,7,3,30
2021,8,1,1,2064,721,1105,1528,F9,1916,TN789,464,404,436,23,0,LAX,DEN,1336,18,22,0,None,0,0,22,21,0,39
2018,6,21,4,1758,1154,1350,1140,F9,7213,TN321,337,326,218,22,0,SFO,SFO,1755,27,25,0,None,0,12,3,17,0,30
2018,11,19,5,1317,1708,1060,1559,WN,9441,TN321,148,136,255,24,0,LAX,DEN,1031,13,47,1,B,0,11,23,22,2,16
2019,2,21,7,1845,16,381,2107,DL,528,TN321,370,98,74,28,8,DEN,ORD,874,8,35,0,None,0,3,25,23,2,4
2021,9,20,1,1242,991,1935,1897,F9,4820,TN456,200,54,351,13,13,DFW,ATL,2924,26,5,0,None,0,9,1,11,0,0
2021,2,18,5,233,877,2086,827,F9,7880,TN123,215,85,135,5,11,DEN,LAX,2192,11,15,0,None,0,5,0,0,0,0
2019,12,11,1,1413,2232,1132,1800,DL,8433,TN321,491,30,104,7,0,DEN,ORD,1426,15,9,0,None,0,14,0,19,0,0
2020,5,20,3,2295,1446,2079,1203,DL,8557,TN789,99,212,298,0,22,JFK,DEN,725,0,38,0,None,0,0,0,0,0,0
2018,12,3,6,1925,1465,944,844,NK,1209,TN321,274,416,161,0,0,DEN,ORD,2119,6,56,0,None,0,0,0,0,0,0
2022,4,17,4,2099,1678,1744,1268,F9,4121,TN456,442,83,115,19,0,ORD,SFO,1872,17,26,0,None,0,1,29,7,1,0
2018,7,12,3,2062,1543,105,637,F9,6477,TN456,188,110,68,41,3,DFW,LAX,1969,10,1,0,None,0,7,19,12,1,17
2018,8,10,4,440,79,205,648,F9,2962,TN789,313,189,388,0,0,ORD,SFO,1944,29,9,0,None,0,0,0,0,0,0
2020,5,8,7,1135,2349,834,2260,DL,4777,TN321,136,415,389,32,0,DFW,ATL,2184,2,47,0,None,0,10,24,13,9,1
2018,10,15,5,6,1271,88,1629,F9,2418,TN321,463,478,320,35,10,ORD,ORD,2090,9,7,0,None,0,7,15,19,7,21
2019,5,5,1,1586,1564,1072,989,AA,1617,TN789,65,255,224,0,0,JFK,DEN,285,11,8,0,None,0,0,0,0,0,0
2019,2,4,2,825,1295,895,803,AA,9228,TN123,377,293,430,29,0,ORD,DFW,2779,7,12,0,None,0,18,14,7,2,13
2021,8,26,2,1268,2180,1596,127,DL,8912,TN456,432,138,371,17,0,LAX,JFK,1164,2,51,0,None,0,13,25,1,0,0
2022,2,28,4,1310,1028,1194,951,DL,4683,TN123,224,471,214,0,16,DEN,DFW,399,1,7,0,None,0,0,0,0,0,0
2018,10,21,6,1627,1565,142,2264,DL,9166,TN123,297,338,324,15,12,JFK,ORD,2524,6,26,0,None,0,17,29,22,0,0
2018,12,20,6,1036,1713,206,19,UA,6826,TN321,105,73,269,10,15,SFO,DEN,334,11,45,0,None,0,7,0,16,0,0
2020,6,19,4,1169,1009,2052,1781,DL,1847,TN789,309,230,277,0,5,JFK,ORD,980,12,41,0,None,0,0,0,0,0,0
2019,8,21,3,477,772,210,674,NK,1372,TN456,350,313,378,54,5,LAX,ORD,1204,27,20,0,None,0,13,14,4,5,37
2022,6,4,2,714,2188,28,738,UA,1467,TN123,377,176,78,0,20,LAX,DFW,2174,18,40,0,None,0,0,0,0,0,0
2021,4,15,3,1676,482,1213,556,DL,8883,TN123,109,469,240,8,0,LAX,JFK,1144,23,33,0,None,0,6,0,0,0,0
2019,4,17,5,2162,1585,187,2244,WN,88,TN321,434,433,79,41,20,ATL,SFO,2443,19,28,0,None,0,19,16,18,4,32
